phase,signature,dataset,model_type,width_factor,depth,poison_ratio,poison_type,alpha,data_ordering,aggregator,batch_size,mean_test_acc,std_test_acc,mean_test_loss,std_test_loss,mean_val_acc,std_val_acc,mean_val_loss,std_val_loss,num_parameters,best_epoch,seed
exp1_vary_width,mnist|cnn|64|16|1.0|random_noise|100.0|shuffle|fedavg|128|42,mnist,cnn,64,16,1.0,random_noise,100.0,shuffle,fedavg,128,0.0892,0.0,2.305977383804321,0.0,0.1138333333333333,0.0,2.318899232228597,0.0,557258,7,42
exp1_vary_width,mnist|lr|1|4|0.5|label_flip|100.0|shuffle|fedavg|128|42,mnist,lr,1,4,0.5,label_flip,100.0,shuffle,fedavg,128,0.1135,0.0,2.301733681106567,0.0,0.111,0.0,2.3015915686289468,0.0,819,5,42
exp1_vary_width,mnist|lr|1|4|0.5|random_noise|100.0|shuffle|fedavg|128|42,mnist,lr,1,4,0.5,random_noise,100.0,shuffle,fedavg,128,0.1135,0.0,2.301566175079346,0.0,0.111,0.0,2.301582261403402,0.0,819,4,42
exp1_vary_width,mnist|cnn|64|1|0.0|label_flip|100.0|shuffle|fedavg|128|42,mnist,cnn,64,1,0.0,label_flip,100.0,shuffle,fedavg,128,0.9803,0.0,0.062317037601181,0.0,0.9798333333333332,0.0,0.0810182332098484,0.0,502538,41,42
exp1_vary_width,mnist|lr|1|4|0.75|label_flip|100.0|shuffle|fedavg|128|42,mnist,lr,1,4,0.75,label_flip,100.0,shuffle,fedavg,128,0.0974,0.0,2.3024022605895995,0.0,0.1093333333333333,0.0,2.3159987602233887,0.0,819,1,42
exp1_vary_width,mnist|lr|1|4|0.75|random_noise|100.0|shuffle|fedavg|128|42,mnist,lr,1,4,0.75,random_noise,100.0,shuffle,fedavg,128,0.1135,0.0,2.302162475204468,0.0,0.1625,0.0,2.3151771742502847,0.0,819,0,42
exp1_vary_width,mnist|cnn|64|1|0.0|random_noise|100.0|shuffle|fedavg|128|42,mnist,cnn,64,1,0.0,random_noise,100.0,shuffle,fedavg,128,0.9803,0.0,0.062317037601181,0.0,0.9798333333333332,0.0,0.0810182332098484,0.0,502538,41,42
exp1_vary_width,mnist|lr|1|4|1.0|label_flip|100.0|shuffle|fedavg|128|42,mnist,lr,1,4,1.0,label_flip,100.0,shuffle,fedavg,128,0.0974,0.0,2.3043307010650635,0.0,0.0995,0.0,2.3079884122212726,0.0,819,2,42
exp1_vary_width,mnist|cnn|64|1|0.25|label_flip|100.0|shuffle|fedavg|128|42,mnist,cnn,64,1,0.25,label_flip,100.0,shuffle,fedavg,128,0.9747,0.0,0.0851397183261811,0.0,0.9736666666666668,0.0,0.0962163947621981,0.0,502538,20,42
exp1_vary_width,mnist|cnn|64|1|0.25|random_noise|100.0|shuffle|fedavg|128|42,mnist,cnn,64,1,0.25,random_noise,100.0,shuffle,fedavg,128,0.9715,0.0,0.0874386502936482,0.0,0.9731666666666666,0.0,0.0987968461513519,0.0,502538,18,42
exp1_vary_width,mnist|lr|1|4|1.0|random_noise|100.0|shuffle|fedavg|128|42,mnist,lr,1,4,1.0,random_noise,100.0,shuffle,fedavg,128,0.0892,0.0,2.302795715332031,0.0,0.1093333333333333,0.0,2.3058228143056234,0.0,819,2,42
exp1_vary_width,mnist|cnn|64|1|0.5|label_flip|100.0|shuffle|fedavg|128|42,mnist,cnn,64,1,0.5,label_flip,100.0,shuffle,fedavg,128,0.9541,0.0,0.2456048959493637,0.0,0.9483333333333334,0.0,0.2616610800822576,0.0,502538,17,42
exp1_vary_width,mnist|lr|1|16|0.0|label_flip|100.0|shuffle|fedavg|128|42,mnist,lr,1,16,0.0,label_flip,100.0,shuffle,fedavg,128,0.1135,0.0,2.331865970611572,0.0,0.111,0.0,2.332121093114217,0.0,867,0,42
exp1_vary_width,mnist|cnn|64|1|0.5|random_noise|100.0|shuffle|fedavg|128|42,mnist,cnn,64,1,0.5,random_noise,100.0,shuffle,fedavg,128,0.9516,0.0,0.2696339972257614,0.0,0.9441666666666668,0.0,0.2883759523232778,0.0,502538,8,42
